t1,t2,t3,t4,CF12_34,CF12_34_lo,CF12_34_hi,CF13_24,CF13_24_lo,CF13_24_hi,CF14_23,CF14_23_lo,CF14_23_hi,ngenes
modoc_east,laevissimus,new,herculeanus,0.0217622088915825,0.0190146931719965,0.0244165999171564,0.0397452744381185,0.0358686257562662,0.0440795159896284,0.938492516670299,0.933664851699406,0.94295592048401,4628
modoc_east,laevissimus,new,chromaiodes,0.283330661197031,0.275064763382722,0.292350907519447,0.529860458072832,0.520743301642178,0.539974070872947,0.186808880730137,0.17761452031115,0.19511672323179,4628
modoc_east,laevissimus,new,modoc_west,0.0121258639404885,0.00626620570440795,0.0162057044079516,0.0319639142550845,0.0179343128781331,0.0397579948141746,0.955910221804427,0.945548833189283,0.974719101123595,4628
modoc_east,laevissimus,new,pennsylvanicus,0.173995619759073,0.165514225256218,0.184312878133103,0.403027464526532,0.394122731201383,0.412705272255834,0.422976915714395,0.409896283491789,0.433664649956785,4628
modoc_east,laevissimus,new,novaeboracensis,0.0327781845022888,0.0265773494863117,0.0382454624027658,0.0582148153163058,0.0429991264046831,0.0697925669835782,0.909007000181405,0.894338614014993,0.928478623924239,4628
modoc_east,laevissimus,herculeanus,chromaiodes,0.017470506298499,0.0136127917026793,0.0209593822297714,0.96469331467209,0.958513396715644,0.973422644770959,0.0178361790294109,0.0116681071737252,0.0222558340535869,4628
modoc_east,laevissimus,herculeanus,modoc_west,0.177419941310329,0.150388904410349,0.199006050129646,0.233617597027647,0.222126188418323,0.249567847882455,0.588962461662024,0.564822817631806,0.615168672249065,4628
modoc_east,laevissimus,herculeanus,new,0.0205925522437486,0.0157735522904062,0.0242005185825411,0.943540118941299,0.933880726015557,0.957649092480553,0.0358673288149526,0.0242005185825411,0.0440795159896284,4628
modoc_east,laevissimus,herculeanus,pennsylvanicus,0.0319413221032216,0.0263612848663105,0.036732929991357,0.927541841670574,0.918323051356298,0.941443388072602,0.040516836226205,0.0293863439930856,0.047752808988764,4628
modoc_east,laevissimus,herculeanus,novaeboracensis,0.454968237193337,0.429991356957649,0.483362143474503,0.444664195337089,0.42523768366465,0.475151253241141,0.100367567469573,0.07476231633535,0.125756266205704,4628
